Date;Open;High;Low;Close
28.09.2018;116980;117260;116760;117160
28.09.2018;117150;117170;116850;116930
28.09.2018;116950;116960;116860;116930
28.09.2018;116920;116990;116880;116920
28.09.2018;116930;117010;116870;116950
28.09.2018;116960;116960;116880;116940
28.09.2018;116910;116970;116870;116870
28.09.2018;116890;116900;116620;116680
28.09.2018;116680;116680;116570;116630
28.09.2018;116630;116680;116580;116670
28.09.2018;116660;116690;116370;116380
28.09.2018;116380;116470;116360;116420
28.09.2018;116430;116630;116300;116580
28.09.2018;116570;116610;116540;116580
28.09.2018;116580;116610;116520;116610
28.09.2018;116600;116610;116460;116490
28.09.2018;116500;116560;116430;116550
28.09.2018;116560;116740;116530;116730
28.09.2018;116720;116800;116700;116730
28.09.2018;116740;116740;116610;116650
28.09.2018;116660;116700;116570;116700
28.09.2018;116700;116750;116620;116660
28.09.2018;116650;116670;116560;116630
28.09.2018;116610;116730;116610;116730
28.09.2018;116730;116760;116700;116720
28.09.2018;116730;116890;116720;116860
28.09.2018;116850;116900;116820;116860
28.09.2018;116860;116890;116810;116810
28.09.2018;116810;116860;116740;116840
28.09.2018;116820;116900;116820;116820
28.09.2018;116830;116830;116750;116790
28.09.2018;116800;116810;116770;116800
28.09.2018;116790;116800;116730;116770
28.09.2018;116790;116830;116770;116810
28.09.2018;116800;116820;116740;116800
28.09.2018;116790;116860;116740;116860
28.09.2018;116860;116870;116800;116830
28.09.2018;116820;116850;116800;116830
28.09.2018;116830;116850;116800;116810
28.09.2018;116820;116820;116790;116790
28.09.2018;116790;116830;116750;116830
28.09.2018;116820;116830;116790;116830
28.09.2018;116830;116890;116830;116870
28.09.2018;116870;116890;116830;116880
28.09.2018;116870;116880;116850;116860
28.09.2018;116860;116870;116820;116850
28.09.2018;116850;116850;116820;116830
28.09.2018;116820;116820;116780;116780
28.09.2018;116790;116790;116710;116720
28.09.2018;116720;116730;116660;116710
28.09.2018;116710;116720;116610;116610
28.09.2018;116620;116690;116610;116650
28.09.2018;116660;116730;116660;116720
28.09.2018;116730;116780;116710;116740
28.09.2018;116730;116750;116660;116710
28.09.2018;116710;116790;116710;116770
28.09.2018;116750;116830;116730;116790
28.09.2018;116810;116830;116720;116760
28.09.2018;116750;116820;116710;116790
28.09.2018;116780;116790;116730;116730
28.09.2018;116750;116810;116700;116780
28.09.2018;116780;116780;116690;116690
28.09.2018;116690;116770;116670;116770
28.09.2018;116770;116840;116770;116840
28.09.2018;116850;116870;116790;116840
28.09.2018;116860;116860;116760;116770
28.09.2018;116790;116800;116720;116720
28.09.2018;116720;116750;116700;116700
28.09.2018;116710;116790;116700;116750
28.09.2018;116730;116750;116680;116730
28.09.2018;116710;116780;116670;116770
28.09.2018;116750;116840;116740;116800
28.09.2018;116800;116800;116730;116740
28.09.2018;116730;116730;116640;116730
28.09.2018;116720;116750;116710;116740
28.09.2018;116720;116810;116700;116780
28.09.2018;116770;116780;116720;116770
28.09.2018;116780;116800;116740;116760
28.09.2018;116760;116790;116720;116730
28.09.2018;116730;116760;116730;116760
28.09.2018;116760;116780;116750;116760
28.09.2018;116760;116840;116760;116830
28.09.2018;116810;116890;116800;116850
28.09.2018;116840;116850;116770;116820
28.09.2018;116800;116810;116780;116800
28.09.2018;116800;116880;116790;116840
28.09.2018;116830;116900;116830;116870
28.09.2018;116880;116900;116840;116860
28.09.2018;116850;116890;116850;116880
28.09.2018;116880;116900;116860;116900
28.09.2018;116890;116930;116850;116880
28.09.2018;116880;116910;116870;116890
28.09.2018;116900;116900;116850;116870
28.09.2018;116870;116930;116860;116920
28.09.2018;116920;116930;116900;116910
28.09.2018;116920;116930;116890;116910
28.09.2018;116900;116930;116880;116880
28.09.2018;116880;116900;116820;116870
28.09.2018;116870;116960;116870;116920
28.09.2018;116930;116950;116900;116910
28.09.2018;116910;116930;116860;116930
28.09.2018;116920;116960;116910;116960
28.09.2018;116960;116990;116940;116950
28.09.2018;116940;116960;116930;116960
28.09.2018;116950;117130;116950;117110
28.09.2018;117110;117140;117080;117120
28.09.2018;117130;117160;117100;117130
28.09.2018;117110;117190;117090;117170
28.09.2018;117150;117180;117080;117100
28.09.2018;117090;117110;117050;117070
28.09.2018;117090;117150;117060;117130
28.09.2018;117130;117160;117100;117150
28.09.2018;117150;117310;117130;117310
28.09.2018;117310;117340;117250;117310
28.09.2018;117310;117400;117300;117370
28.09.2018;117370;117380;117320;117340
28.09.2018;117340;117390;117330;117360
28.09.2018;117370;117400;117350;117390
28.09.2018;117390;117530;117380;117510
28.09.2018;117510;117650;117510;117620
28.09.2018;117600;117620;117460;117500
28.09.2018;117510;117590;117510;117560
28.09.2018;117580;117580;117500;117530
28.09.2018;117540;117570;117500;117510
28.09.2018;117500;117500;117440;117460
28.09.2018;117460;117500;117400;117440
28.09.2018;117440;117520;117440;117460
28.09.2018;117470;117470;117390;117410
28.09.2018;117400;117450;117370;117440
28.09.2018;117440;117450;117390;117430
28.09.2018;117430;117430;117330;117360
28.09.2018;117350;117370;117310;117360
28.09.2018;117370;117390;117330;117390
28.09.2018;117380;117410;117300;117300
28.09.2018;117310;117320;117210;117270
28.09.2018;117270;117280;117120;117180
28.09.2018;117190;117200;117120;117170
28.09.2018;117170;117250;117160;117240
28.09.2018;117240;117250;117200;117240
28.09.2018;117250;117280;117230;117280
28.09.2018;117280;117330;117210;117330
28.09.2018;117330;117350;117290;117300
28.09.2018;117310;117350;117270;117330
28.09.2018;117330;117370;117290;117300
28.09.2018;117300;117300;117220;117290
28.09.2018;117290;117290;117220;117220
28.09.2018;117220;117270;117190;117270
28.09.2018;117270;117270;117200;117230
28.09.2018;117240;117240;117180;117200
28.09.2018;117210;117440;117210;117430
28.09.2018;117420;117430;117320;117320
28.09.2018;117330;117360;117280;117330
28.09.2018;117330;117330;117270;117290
28.09.2018;117280;117280;117220;117270
28.09.2018;117260;117260;117150;117170
28.09.2018;117160;117170;117060;117110
28.09.2018;117120;117150;117100;117120
28.09.2018;117120;117180;117100;117170
28.09.2018;117170;117180;117120;117140
28.09.2018;117130;117160;117100;117160
28.09.2018;117150;117160;117090;117100
28.09.2018;117090;117100;117050;117090
28.09.2018;117080;117120;117060;117080
28.09.2018;117080;117100;117040;117060
28.09.2018;117060;117080;117030;117060
28.09.2018;117070;117140;117060;117140
28.09.2018;117120;117150;117070;117080
28.09.2018;117070;117080;117010;117070
28.09.2018;117080;117120;117060;117120
28.09.2018;117120;117230;117110;117220
28.09.2018;117220;117240;117110;117160
28.09.2018;117160;117200;117120;117120
28.09.2018;117120;117200;117100;117180
28.09.2018;117170;117180;117130;117180
28.09.2018;117180;117190;117150;117170
28.09.2018;117180;117200;117170;117190
28.09.2018;117190;117270;117170;117270
28.09.2018;117270;117270;117130;117140
28.09.2018;117140;117150;117090;117100
28.09.2018;117090;117120;117050;117080
28.09.2018;117080;117120;117040;117080
28.09.2018;117090;117150;117080;117140
28.09.2018;117140;117160;117120;117140
28.09.2018;117140;117170;117130;117130
28.09.2018;117110;117230;117100;117230
28.09.2018;117230;117240;117130;117170
28.09.2018;117190;117190;117090;117090
28.09.2018;117090;117140;117080;117090
28.09.2018;117090;117100;116940;116960
28.09.2018;116960;116990;116830;116880
28.09.2018;116860;116890;116710;116880
28.09.2018;116880;116880;116850;116860
28.09.2018;116870;116920;116850;116920
28.09.2018;116910;116940;116910;116940
28.09.2018;116940;116970;116920;116970
28.09.2018;116960;117040;116950;116980
28.09.2018;116990;117000;116930;116970
28.09.2018;116960;116960;116810;116830
28.09.2018;116830;116880;116810;116870
28.09.2018;116870;116880;116740;116840
28.09.2018;116840;116840;116650;116690
28.09.2018;116700;116710;116600;116640
28.09.2018;116640;116710;116630;116680
28.09.2018;116680;116760;116660;116760
28.09.2018;116750;116750;116670;116670
28.09.2018;116670;116690;116640;116670
28.09.2018;116670;116700;116640;116670
28.09.2018;116680;116730;116650;116720
28.09.2018;116720;116760;116660;116670
28.09.2018;116680;116710;116630;116660
28.09.2018;116660;116700;116610;116680
28.09.2018;116690;116710;116630;116640
28.09.2018;116630;116640;116500;116530
28.09.2018;116530;116600;116500;116520
28.09.2018;116530;116540;116360;116390
28.09.2018;116380;116460;116350;116460
28.09.2018;116450;116580;116450;116570
28.09.2018;116560;116590;116530;116580
28.09.2018;116580;116600;116550;116580
28.09.2018;116570;116660;116560;116640
28.09.2018;116640;116660;116570;116640
28.09.2018;116640;116680;116630;116670
28.09.2018;116670;116720;116650;116670
28.09.2018;116660;116730;116650;116700
28.09.2018;116680;116740;116670;116730
28.09.2018;116720;116750;116700;116750
28.09.2018;116750;116820;116720;116770
28.09.2018;116770;116840;116760;116820
28.09.2018;116830;116840;116760;116770
28.09.2018;116770;116810;116760;116810
28.09.2018;116800;116810;116750;116790
28.09.2018;116780;116800;116760;116760
28.09.2018;116750;116760;116700;116730
28.09.2018;116730;116770;116710;116760
28.09.2018;116770;116810;116760;116790
28.09.2018;116780;116830;116780;116830
28.09.2018;116820;116830;116780;116830
28.09.2018;116830;116860;116800;116830
28.09.2018;116850;116860;116830;116860
28.09.2018;116860;116900;116840;116840
28.09.2018;116850;116850;116660;116670
28.09.2018;116670;116680;116610;116620
28.09.2018;116620;116620;116510;116590
28.09.2018;116600;116670;116580;116670
28.09.2018;116670;116800;116640;116780
28.09.2018;116770;116860;116710;116860
28.09.2018;116860;116870;116800;116820
28.09.2018;116810;116830;116780;116810
28.09.2018;116800;116820;116790;116820
28.09.2018;116830;116850;116810;116810
28.09.2018;116810;116840;116800;116810
28.09.2018;116810;116820;116750;116800
28.09.2018;116810;116890;116810;116860
28.09.2018;116850;116880;116790;116810
28.09.2018;116810;116820;116760;116780
28.09.2018;116780;116780;116720;116730
28.09.2018;116740;116840;116740;116800
28.09.2018;116790;116800;116750;116790
28.09.2018;116770;116820;116750;116820
28.09.2018;116810;116810;116780;116800
28.09.2018;116790;116860;116780;116860
28.09.2018;116860;116880;116840;116840
28.09.2018;116840;116850;116810;116850
28.09.2018;116860;117020;116850;117010
28.09.2018;117010;117100;117010;117070
